scenario,source,variable,shock,horizon,response
rstar_2,dynare,x,e_x,0,0.0039974188896
rstar_2,dynare,x,e_x,1,-0.00065734163522
rstar_2,dynare,x,e_x,2,-0.00043098560397
rstar_2,dynare,x,e_x,3,-0.000282575423306
rstar_2,dynare,x,e_x,4,-0.000185270387505
rstar_2,dynare,x,e_x,5,-0.000121472405791
rstar_2,dynare,x,e_x,6,-7.96433017026e-05
rstar_2,dynare,x,e_x,7,-5.22180775525e-05
rstar_2,dynare,x,e_x,8,-3.4236747661e-05
rstar_2,dynare,x,e_x,9,-2.24473007308e-05
rstar_2,dynare,x,e_x,10,-1.47175577274e-05
rstar_2,dynare,x,e_x,11,-9.64955689131e-06
rstar_2,dynare,x,e_x,12,-6.32672552903e-06
rstar_2,dynare,x,e_x,13,-4.1481133663e-06
rstar_2,dynare,x,e_x,14,-2.71970775731e-06
rstar_2,dynare,x,e_x,15,-1.78317457407e-06
rstar_2,dynare,x,e_x,16,-1.16913721817e-06
rstar_2,dynare,x,e_x,17,-7.66544036009e-07
rstar_2,dynare,x,e_x,18,-5.0258408509e-07
rstar_2,dynare,x,e_x,19,-3.29518919619e-07
rstar_2,dynare,x,e_pi,0,-0.0014400035356
rstar_2,dynare,x,e_pi,1,-0.000944137356068
rstar_2,dynare,x,e_pi,2,-0.000619023026739
rstar_2,dynare,x,e_pi,3,-0.000405862033919
rstar_2,dynare,x,e_pi,4,-0.000266103171387
rstar_2,dynare,x,e_pi,5,-0.00017447036654
rstar_2,dynare,x,e_pi,6,-0.00011439137926
rstar_2,dynare,x,e_pi,7,-7.50006313884e-05
rstar_2,dynare,x,e_pi,8,-4.91741138628e-05
rstar_2,dynare,x,e_pi,9,-3.22409749015e-05
rstar_2,dynare,x,e_pi,10,-2.11387736543e-05
rstar_2,dynare,x,e_pi,11,-1.38596228239e-05
rstar_2,dynare,x,e_pi,12,-9.08705244503e-06
rstar_2,dynare,x,e_pi,13,-5.95791986463e-06
rstar_2,dynare,x,e_pi,14,-3.90630617883e-06
rstar_2,dynare,x,e_pi,15,-2.56116703639e-06
rstar_2,dynare,x,e_pi,16,-1.67922745633e-06
rstar_2,dynare,x,e_pi,17,-1.10098435987e-06
rstar_2,dynare,x,e_pi,18,-7.21859659992e-07
rstar_2,dynare,x,e_pi,19,-4.73286803808e-07
rstar_2,dynare,x,e_i,0,-0.00306505008584
rstar_2,dynare,x,e_i,1,-0.00200959804105
rstar_2,dynare,x,e_i,2,-0.00131759161303
rstar_2,dynare,x,e_i,3,-0.000863878060814
rstar_2,dynare,x,e_i,4,-0.000566401073426
rstar_2,dynare,x,e_i,5,-0.000371360485386
rstar_2,dynare,x,e_i,6,-0.000243482254142
rstar_2,dynare,x,e_i,7,-0.00015963897726
rstar_2,dynare,x,e_i,8,-0.000104667188788
rstar_2,dynare,x,e_i,9,-6.86249724018e-05
rstar_2,dynare,x,e_i,10,-4.49939173077e-05
rstar_2,dynare,x,e_i,11,-2.95002318229e-05
rstar_2,dynare,x,e_i,12,-1.93418072859e-05
rstar_2,dynare,x,e_i,13,-1.2681443025e-05
rstar_2,dynare,x,e_i,14,-8.314579647e-06
rstar_2,dynare,x,e_i,15,-5.45144859068e-06
rstar_2,dynare,x,e_i,16,-3.57423862643e-06
rstar_2,dynare,x,e_i,17,-2.34344716751e-06
rstar_2,dynare,x,e_i,18,-1.53647956975e-06
rstar_2,dynare,x,e_i,19,-1.0073918034e-06
rstar_2,dynare,pi,e_x,0,0.000211560943283
rstar_2,dynare,pi,e_x,1,-0.000189114874833
rstar_2,dynare,pi,e_x,2,-0.000123993041339
rstar_2,dynare,pi,e_x,3,-8.12959547157e-05
rstar_2,dynare,pi,e_x,4,-5.33016383965e-05
rstar_2,dynare,pi,e_x,5,-3.49471836044e-05
rstar_2,dynare,pi,e_x,6,-2.29130975824e-05
rstar_2,dynare,pi,e_x,7,-1.5022957122e-05
rstar_2,dynare,pi,e_x,8,-9.84979180035e-06
rstar_2,dynare,pi,e_x,9,-6.45800941337e-06
rstar_2,dynare,pi,e_x,10,-4.23418955735e-06
rstar_2,dynare,pi,e_x,11,-2.77614355447e-06
rstar_2,dynare,pi,e_x,12,-1.82017666678e-06
rstar_2,dynare,pi,e_x,13,-1.19339761553e-06
rstar_2,dynare,pi,e_x,14,-7.8245034933e-07
rstar_2,dynare,pi,e_x,15,-5.13013048792e-07
rstar_2,dynare,pi,e_x,16,-3.36356662703e-07
rstar_2,dynare,pi,e_x,17,-2.20532021185e-07
rstar_2,dynare,pi,e_x,18,-1.44591672355e-07
rstar_2,dynare,pi,e_x,19,-9.48014333796e-08
rstar_2,dynare,pi,e_pi,0,0.00235571605113
rstar_2,dynare,pi,e_pi,1,-0.000271624994298
rstar_2,dynare,pi,e_pi,2,-0.000178090746042
rstar_2,dynare,pi,e_pi,3,-0.000116765078662
rstar_2,dynare,pi,e_pi,4,-7.65569458154e-05
rstar_2,dynare,pi,e_pi,5,-5.0194510377e-05
rstar_2,dynare,pi,e_pi,6,-3.29099971943e-05
rstar_2,dynare,pi,e_pi,7,-2.15774176737e-05
rstar_2,dynare,pi,e_pi,8,-1.41472194821e-05
rstar_2,dynare,pi,e_pi,9,-9.27561500187e-06
rstar_2,dynare,pi,e_pi,10,-6.08155077904e-06
rstar_2,dynare,pi,e_pi,11,-3.98736470527e-06
rstar_2,dynare,pi,e_pi,12,-2.6143130051e-06
