scenario,source,variable,shock,horizon,response
rstar_3,dynare,i,e_x,14,4.27682745521e-07
rstar_3,dynare,i,e_x,15,2.80592804768e-07
rstar_3,dynare,i,e_x,16,1.84090480413e-07
rstar_3,dynare,i,e_x,17,1.20777526732e-07
rstar_3,dynare,i,e_x,18,7.9239355185e-08
rstar_3,dynare,i,e_x,19,5.19871169741e-08
rstar_3,dynare,i,e_pi,0,0.000224387447377
rstar_3,dynare,i,e_pi,1,0.000147215439186
rstar_3,dynare,i,e_pi,2,9.65846609878e-05
rstar_3,dynare,i,e_pi,3,6.33669728507e-05
rstar_3,dynare,i,e_pi,4,4.15736122816e-05
rstar_3,dynare,i,e_pi,5,2.72754900603e-05
rstar_3,dynare,i,e_pi,6,1.78948211907e-05
rstar_3,dynare,i,e_pi,7,1.17403802733e-05
rstar_3,dynare,i,e_pi,8,7.70259325262e-06
rstar_3,dynare,i,e_pi,9,5.05349413175e-06
rstar_3,dynare,i,e_pi,10,3.31548117654e-06
rstar_3,dynare,i,e_pi,11,2.17521088289e-06
rstar_3,dynare,i,e_pi,12,1.42710579041e-06
rstar_3,dynare,i,e_pi,13,9.3629125941e-07
rstar_3,dynare,i,e_pi,14,6.14279143381e-07
rstar_3,dynare,i,e_pi,15,4.03014406255e-07
rstar_3,dynare,i,e_pi,16,2.64408475201e-07
rstar_3,dynare,i,e_pi,17,1.73472314322e-07
rstar_3,dynare,i,e_pi,18,1.13811192373e-07
rstar_3,dynare,i,e_pi,19,7.46689035654e-08
rstar_3,dynare,i,e_i,0,0.000477609080701
rstar_3,dynare,i,e_i,1,0.000313348324056
rstar_3,dynare,i,e_i,2,0.000205580622639
rstar_3,dynare,i,e_i,3,0.000134876714378
rstar_3,dynare,i,e_i,4,8.84895076588e-05
rstar_3,dynare,i,e_i,5,5.80559290889e-05
rstar_3,dynare,i,e_i,6,3.80891587212e-05
rstar_3,dynare,i,e_i,7,2.49894202859e-05
rstar_3,dynare,i,e_i,8,1.63949834333e-05
rstar_3,dynare,i,e_i,9,1.07563712445e-05
rstar_3,dynare,i,e_i,10,7.05700757915e-06
rstar_3,dynare,i,e_i,11,4.62994023172e-06
rstar_3,dynare,i,e_i,12,3.03759721226e-06
rstar_3,dynare,i,e_i,13,1.99289761037e-06
rstar_3,dynare,i,e_i,14,1.30749424887e-06
rstar_3,dynare,i,e_i,15,8.57816880269e-07
rstar_3,dynare,i,e_i,16,5.62793909581e-07
rstar_3,dynare,i,e_i,17,3.69236129466e-07
rstar_3,dynare,i,e_i,18,2.42247325322e-07
rstar_3,dynare,i,e_i,19,1.58932894e-07
rstar_4,dynare,x,e_x,0,0.00399714120767
rstar_4,dynare,x,e_x,1,-0.000658375069126
rstar_4,dynare,x,e_x,2,-0.000432222098427
rstar_4,dynare,x,e_x,3,-0.00028375306285
rstar_4,dynare,x,e_x,4,-0.000186283396823
rstar_4,dynare,x,e_x,5,-0.000122294729027
rstar_4,dynare,x,e_x,6,-8.02862788785e-05
rstar_4,dynare,x,e_x,7,-5.27078037415e-05
rstar_4,dynare,x,e_x,8,-3.46025823348e-05
rstar_4,dynare,x,e_x,9,-2.27165356787e-05
rstar_4,dynare,x,e_x,10,-1.49133665299e-05
rstar_4,dynare,x,e_x,11,-9.79059942946e-06
rstar_4,dynare,x,e_x,12,-6.42751165514e-06
rstar_4,dynare,x,e_x,13,-4.21965032627e-06
rstar_4,dynare,x,e_x,14,-2.77019316827e-06
rstar_4,dynare,x,e_x,15,-1.81862704161e-06
rstar_4,dynare,x,e_x,16,-1.19392551912e-06
rstar_4,dynare,x,e_x,17,-7.83810046034e-07
rstar_4,dynare,x,e_x,18,-5.14569944628e-07
rstar_4,dynare,x,e_x,19,-3.37814281987e-07
rstar_4,dynare,x,e_pi,0,-0.00144040236913
rstar_4,dynare,x,e_pi,1,-0.00094562167336
rstar_4,dynare,x,e_pi,2,-0.000620798999148
rstar_4,dynare,x,e_pi,3,-0.000407553473234
rstar_4,dynare,x,e_pi,4,-0.000267558152918
rstar_4,dynare,x,e_pi,5,-0.000175651466358
rstar_4,dynare,x,e_pi,6,-0.000115314884997
rstar_4,dynare,x,e_pi,7,-7.57040232998e-05
rstar_4,dynare,x,e_pi,8,-4.96995608498e-05
rstar_4,dynare,x,e_pi,9,-3.26276760599e-05
rstar_4,dynare,x,e_pi,10,-2.14200131122e-05
rstar_4,dynare,x,e_pi,11,-1.40622016991e-05
rstar_4,dynare,x,e_pi,12,-9.23181118468e-06
rstar_4,dynare,x,e_pi,13,-6.06066813529e-06
rstar_4,dynare,x,e_pi,14,-3.97881818761e-06
rstar_4,dynare,x,e_pi,15,-2.61208728421e-06
rstar_4,dynare,x,e_pi,16,-1.71483080117e-06
rstar_4,dynare,x,e_pi,17,-1.12578346612e-06
rstar_4,dynare,x,e_pi,18,-7.39074905655e-07
rstar_4,dynare,x,e_pi,19,-4.85201402053e-07
rstar_4,dynare,x,e_i,0,-0.00306589900371
rstar_4,dynare,x,e_i,1,-0.00201275741305
rstar_4,dynare,x,e_i,2,-0.00132137177346
rstar_4,dynare,x,e_i,3,-0.000867478292404
rstar_4,dynare,x,e_i,4,-0.000569498004201
rstar_4,dynare,x,e_i,5,-0.000373874458449
rstar_4,dynare,x,e_i,6,-0.000245447937744
rstar_4,dynare,x,e_i,7,-0.000161136148194
rstar_4,dynare,x,e_i,8,-0.000105785603634
rstar_4,dynare,x,e_i,9,-6.94480665052e-05
rstar_4,dynare,x,e_i,10,-4.55925359938e-05
rstar_4,dynare,x,e_i,11,-2.99314213189e-05
rstar_4,dynare,x,e_i,12,-1.96499265206e-05
rstar_4,dynare,x,e_i,13,-1.29001429018e-05
rstar_4,dynare,x,e_i,14,-8.46892158661e-06
rstar_4,dynare,x,e_i,15,-5.5598324287e-06
rstar_4,dynare,x,e_i,16,-3.65002040923e-06
rstar_4,dynare,x,e_i,17,-2.39623210926e-06
rstar_4,dynare,x,e_i,18,-1.57312225075e-06
rstar_4,dynare,x,e_i,19,-1.03275204695e-06
rstar_4,dynare,pi,e_x,0,0.000213393047755
rstar_4,dynare,pi,e_x,1,-0.000188156970293
rstar_4,dynare,pi,e_x,2,-0.000123524726781
rstar_4,dynare,pi,e_x,3,-8.10937702851e-05
rstar_4,dynare,pi,e_x,4,-5.32379204584e-05
rstar_4,dynare,pi,e_x,5,-3.4950603046e-05
rstar_4,dynare,pi,e_x,6,-2.29450106759e-05
rstar_4,dynare,pi,e_x,7,-1.50633599719e-05
rstar_4,dynare,pi,e_x,8,-9.88906986569e-06
rstar_4,dynare,pi,e_x,9,-6.49215732684e-06
rstar_4,dynare,pi,e_x,10,-4.26209009836e-06
rstar_4,dynare,pi,e_x,11,-2.79805480551e-06
rstar_4,dynare,pi,e_x,12,-1.83691815845e-06
rstar_4,dynare,pi,e_x,13,-1.20593360581e-06
rstar_4,dynare,pi,e_x,14,-7.91693334254e-07
rstar_4,dynare,pi,e_x,15,-5.19745309761e-07
rstar_4,dynare,pi,e_x,16,-3.41211900279e-07
rstar_4,dynare,pi,e_x,17,-2.24005024586e-07
rstar_4,dynare,pi,e_x,18,-1.47058912655e-07
rstar_4,dynare,pi,e_x,19,-9.6543922759e-08
rstar_4,dynare,pi,e_pi,0,0.002358347496
rstar_4,dynare,pi,e_pi,1,-0.000270249159554
rstar_4,dynare,pi,e_pi,2,-0.000177418107577
rstar_4,dynare,pi,e_pi,3,-0.000116474681913
rstar_4,dynare,pi,e_pi,4,-7.6465427977e-05
rstar_4,dynare,pi,e_pi,5,-5.01994217084e-05
rstar_4,dynare,pi,e_pi,6,-3.29558338523e-05
rstar_4,dynare,pi,e_pi,7,-2.16354481374e-05
rstar_4,dynare,pi,e_pi,8,-1.42036344219e-05
rstar_4,dynare,pi,e_pi,9,-9.32466152352e-06
rstar_4,dynare,pi,e_pi,10,-6.12162422275e-06
rstar_4,dynare,pi,e_pi,11,-4.01883575399e-06
rstar_4,dynare,pi,e_pi,12,-2.63835874759e-06
rstar_4,dynare,pi,e_pi,13,-1.7320779716e-06
rstar_4,dynare,pi,e_pi,14,-1.13710620379e-06
rstar_4,dynare,pi,e_pi,15,-7.46508263427e-07
rstar_4,dynare,pi,e_pi,16,-4.90081388622e-07
rstar_4,dynare,pi,e_pi,17,-3.21737587165e-07
rstar_4,dynare,pi,e_pi,18,-2.11220171584e-07
rstar_4,dynare,pi,e_pi,19,-1.38665678689e-07
rstar_4,dynare,pi,e_i,0,-0.000876203086681
rstar_4,dynare,pi,e_i,1,-0.000575225816609
rstar_4,dynare,pi,e_i,2,-0.000377634757425
rstar_4,dynare,pi,e_i,3,-0.000247916567543
rstar_4,dynare,pi,e_i,4,-0.000162756799404
rstar_4,dynare,pi,e_i,5,-0.00010684955836
rstar_4,dynare,pi,e_i,6,-7.01465509496e-05
rstar_4,dynare,pi,e_i,7,-4.6051089828e-05
rstar_4,dynare,pi,e_i,8,-3.02324611209e-05
rstar_4,dynare,pi,e_i,9,-1.98475586319e-05
rstar_4,dynare,pi,e_i,10,-1.30298880423e-05
rstar_4,dynare,pi,e_i,11,-8.5540990478e-06
rstar_4,dynare,pi,e_i,12,-5.61575128521e-06
rstar_4,dynare,pi,e_i,13,-3.68673104217e-06
rstar_4,dynare,pi,e_i,14,-2.42033257653e-06
rstar_4,dynare,pi,e_i,15,-1.58894416599e-06
rstar_4,dynare,pi,e_i,16,-1.04313910704e-06
rstar_4,dynare,pi,e_i,17,-6.84819026326e-07
rstar_4,dynare,pi,e_i,18,-4.49582510763e-07
rstar_4,dynare,pi,e_i,19,-2.95150143635e-07
rstar_4,dynare,i,e_x,0,0.000156326752911
rstar_4,dynare,i,e_x,1,0.000102628243918
rstar_4,dynare,i,e_x,2,6.73752652919e-05
rstar_4,dynare,i,e_x,3,4.4231745569e-05
rstar_4,dynare,i,e_x,4,2.90380647498e-05
rstar_4,dynare,i,e_x,5,1.90634394724e-05
rstar_4,dynare,i,e_x,6,1.25151151652e-05
rstar_4,dynare,i,e_x,7,8.21615154098e-06
rstar_4,dynare,i,e_x,8,5.3938893293e-06
rstar_4,dynare,i,e_x,9,3.54107905041e-06
rstar_4,dynare,i,e_x,10,2.32471229492e-06
rstar_4,dynare,i,e_x,11,1.52616961587e-06
rstar_4,dynare,i,e_x,12,1.00192772306e-06
rstar_4,dynare,i,e_x,13,6.57763823754e-07
rstar_4,dynare,i,e_x,14,4.31820816892e-07
rstar_4,dynare,i,e_x,15,2.83489622215e-07
rstar_4,dynare,i,e_x,16,1.86110448499e-07
rstar_4,dynare,i,e_x,17,1.2218118875e-07
rstar_4,dynare,i,e_x,18,8.02117398821e-08
rstar_4,dynare,i,e_x,19,5.26588690188e-08
rstar_4,dynare,i,e_pi,0,0.000224531536219
rstar_4,dynare,i,e_pi,1,0.000147404566634
rstar_4,dynare,i,e_pi,2,9.67708440008e-05
rstar_4,dynare,i,e_pi,3,6.35298923395e-05
rstar_4,dynare,i,e_pi,4,4.17072648517e-05
rstar_4,dynare,i,e_pi,5,2.73807475088e-05
rstar_4,dynare,i,e_pi,6,1.79754135594e-05
rstar_4,dynare,i,e_pi,7,1.18008280281e-05
rstar_4,dynare,i,e_pi,8,7.74722326631e-06
rstar_4,dynare,i,e_pi,9,5.08603872499e-06
rstar_4,dynare,i,e_pi,10,3.33897565914e-06
rstar_4,dynare,i,e_pi,11,2.1920317668e-06
rstar_4,dynare,i,e_pi,12,1.43906507778e-06
rstar_4,dynare,i,e_pi,13,9.44743743894e-07
rstar_4,dynare,i,e_pi,14,6.20222639967e-07
rstar_4,dynare,i,e_pi,15,4.07175094424e-07
rstar_4,dynare,i,e_pi,16,2.67309747882e-07
rstar_4,dynare,i,e_pi,17,1.7548838888e-07
rstar_4,dynare,i,e_pi,18,1.15207824914e-07
rstar_4,dynare,i,e_pi,19,7.56337385395e-08
rstar_4,dynare,i,e_i,0,0.000477915774055
rstar_4,dynare,i,e_i,1,0.000313750882165
rstar_4,dynare,i,e_i,2,0.000205976913513
rstar_4,dynare,i,e_i,3,0.0001352234888
rstar_4,dynare,i,e_i,4,8.87739873919e-05
rstar_4,dynare,i,e_i,5,5.82799697552e-05
rstar_4,dynare,i,e_i,6,3.82606997213e-05
rstar_4,dynare,i,e_i,7,2.51180834396e-05
rstar_4,dynare,i,e_i,8,1.64899784968e-05
rstar_4,dynare,i,e_i,9,1.08256424691e-05
rstar_4,dynare,i,e_i,10,7.10701562714e-06
rstar_4,dynare,i,e_i,11,4.66574351303e-06
rstar_4,dynare,i,e_i,12,3.0630525767e-06
rstar_4,dynare,i,e_i,13,2.01088873862e-06
rstar_4,dynare,i,e_i,14,1.32014499192e-06
rstar_4,dynare,i,e_i,15,8.66672912435e-07
rstar_4,dynare,i,e_i,16,5.68969273638e-07
rstar_4,dynare,i,e_i,17,3.73527347745e-07
rstar_4,dynare,i,e_i,18,2.45220060166e-07
rstar_4,dynare,i,e_i,19,1.60986546956e-07
kappa_0p07,dynare,x,e_x,0,0.00406912390956
kappa_0p07,dynare,x,e_x,1,-0.000639382493558
kappa_0p07,dynare,x,e_x,2,-0.000439166906602
kappa_0p07,dynare,x,e_x,3,-0.000301646625921
kappa_0p07,dynare,x,e_x,4,-0.000207189306757
kappa_0p07,dynare,x,e_x,5,-0.000142310256922
kappa_0p07,dynare,x,e_x,6,-9.77473670923e-05
kappa_0p07,dynare,x,e_x,7,-6.71388554848e-05
kappa_0p07,dynare,x,e_x,8,-4.61150622251e-05
kappa_0p07,dynare,x,e_x,9,-3.167463831e-05
kappa_0p07,dynare,x,e_x,10,-2.17560741254e-05
kappa_0p07,dynare,x,e_x,11,-1.49433990917e-05
kappa_0p07,dynare,x,e_x,12,-1.02640382234e-05
kappa_0p07,dynare,x,e_x,13,-7.04996768167e-06
kappa_0p07,dynare,x,e_x,14,-4.84234793664e-06
kappa_0p07,dynare,x,e_x,15,-3.32602000439e-06
kappa_0p07,dynare,x,e_x,16,-2.28451346626e-06
kappa_0p07,dynare,x,e_x,17,-1.56914323144e-06
kappa_0p07,dynare,x,e_x,18,-1.07778330798e-06
kappa_0p07,dynare,x,e_x,19,-7.40287333671e-07
kappa_0p07,dynare,x,e_pi,0,-0.00144977408784
kappa_0p07,dynare,x,e_pi,1,-0.000995793297195
kappa_0p07,dynare,x,e_pi,2,-0.000683971591889
kappa_0p07,dynare,x,e_pi,3,-0.000469793419808
kappa_0p07,dynare,x,e_pi,4,-0.000322682783777
kappa_0p07,dynare,x,e_pi,5,-0.000221638223431
kappa_0p07,dynare,x,e_pi,6,-0.000152234654451
kappa_0p07,dynare,x,e_pi,7,-0.000104564048823
kappa_0p07,dynare,x,e_pi,8,-7.18209683972e-05
kappa_0p07,dynare,x,e_pi,9,-4.93310230386e-05
kappa_0p07,dynare,x,e_pi,10,-3.3883556409e-05
kappa_0p07,dynare,x,e_pi,11,-2.32732938464e-05
kappa_0p07,dynare,x,e_pi,12,-1.59855181647e-05
kappa_0p07,dynare,x,e_pi,13,-1.09798291845e-05
kappa_0p07,dynare,x,e_pi,14,-7.54161658566e-06
kappa_0p07,dynare,x,e_pi,15,-5.18004240041e-06
kappa_0p07,dynare,x,e_pi,16,-3.55796916553e-06
kappa_0p07,dynare,x,e_pi,17,-2.44383030182e-06
kappa_0p07,dynare,x,e_pi,18,-1.67857175435e-06
kappa_0p07,dynare,x,e_pi,19,-1.15294549397e-06
kappa_0p07,dynare,x,e_i,0,-0.00308584672365
kappa_0p07,dynare,x,e_i,1,-0.00211954780359
kappa_0p07,dynare,x,e_i,2,-0.00145583474943
kappa_0p07,dynare,x,e_i,3,-0.000999956129348
kappa_0p07,dynare,x,e_i,4,-0.000686830878994
kappa_0p07,dynare,x,e_i,5,-0.000471757352643
kappa_0p07,dynare,x,e_i,6,-0.000324031732671
kappa_0p07,dynare,x,e_i,7,-0.000222564763834
kappa_0p07,dynare,x,e_i,8,-0.00015287105893
kappa_0p07,dynare,x,e_i,9,-0.000105001170248
kappa_0p07,dynare,x,e_i,10,-7.21212100611e-05
kappa_0p07,dynare,x,e_i,11,-4.95372473318e-05
kappa_0p07,dynare,x,e_i,12,-3.40252038357e-05
kappa_0p07,dynare,x,e_i,13,-2.33705859413e-05
kappa_0p07,dynare,x,e_i,14,-1.60523443115e-05
kappa_0p07,dynare,x,e_i,15,-1.10257294593e-05
kappa_0p07,dynare,x,e_i,16,-7.57314369485e-06
kappa_0p07,dynare,x,e_i,17,-5.20169714253e-06
kappa_0p07,dynare,x,e_i,18,-3.57284296361e-06
kappa_0p07,dynare,x,e_i,19,-2.45404653383e-06
kappa_0p07,dynare,pi,e_x,0,0.000145216373018
kappa_0p07,dynare,pi,e_x,1,-0.000140657889277
kappa_0p07,dynare,pi,e_x,2,-9.66124201795e-05
kappa_0p07,dynare,pi,e_x,3,-6.63593046996e-05
kappa_0p07,dynare,pi,e_x,4,-4.55796191839e-05
kappa_0p07,dynare,pi,e_x,5,-3.13068633608e-05
kappa_0p07,dynare,pi,e_x,6,-2.15034638516e-05
kappa_0p07,dynare,pi,e_x,7,-1.47698909434e-05
kappa_0p07,dynare,pi,e_x,8,-1.0144862241e-05
kappa_0p07,dynare,pi,e_x,9,-6.96811034582e-06
kappa_0p07,dynare,pi,e_x,10,-4.7861233241e-06
kappa_0p07,dynare,pi,e_x,11,-3.28740151012e-06
kappa_0p07,dynare,pi,e_x,12,-2.2579879282e-06
kappa_0p07,dynare,pi,e_x,13,-1.55092387353e-06
kappa_0p07,dynare,pi,e_x,14,-1.06526914136e-06
kappa_0p07,dynare,pi,e_x,15,-7.31691840524e-07
kappa_0p07,dynare,pi,e_x,16,-5.0257059808e-07
kappa_0p07,dynare,pi,e_x,17,-3.45196149616e-07
kappa_0p07,dynare,pi,e_x,18,-2.37101776676e-07
kappa_0p07,dynare,pi,e_x,19,-1.62855966283e-07
kappa_0p07,dynare,pi,e_pi,0,0.0024510638934
kappa_0p07,dynare,pi,e_pi,1,-0.000219064776954
kappa_0p07,dynare,pi,e_pi,2,-0.0001504670544
kappa_0p07,dynare,pi,e_pi,3,-0.000103349953263
kappa_0p07,dynare,pi,e_pi,4,-7.0987053492e-05
kappa_0p07,dynare,pi,e_pi,5,-4.87582394029e-05
kappa_0p07,dynare,pi,e_pi,6,-3.34901336613e-05
kappa_0p07,dynare,pi,e_pi,7,-2.30030670998e-05
kappa_0p07,dynare,pi,e_pi,8,-1.57999099481e-05
kappa_0p07,dynare,pi,e_pi,9,-1.0852342137e-05
kappa_0p07,dynare,pi,e_pi,10,-7.45405070316e-06
kappa_0p07,dynare,pi,e_pi,11,-5.11989680973e-06
kappa_0p07,dynare,pi,e_pi,12,-3.51665750425e-06
kappa_0p07,dynare,pi,e_pi,13,-2.41545493235e-06
kappa_0p07,dynare,pi,e_pi,14,-1.65908181936e-06
kappa_0p07,dynare,pi,e_pi,15,-1.13955861749e-06
kappa_0p07,dynare,pi,e_pi,16,-7.82718385283e-07
kappa_0p07,dynare,pi,e_pi,17,-5.37618742254e-07
kappa_0p07,dynare,pi,e_pi,18,-3.69269353393e-07
kappa_0p07,dynare,pi,e_pi,19,-2.53636721785e-07
kappa_0p07,dynare,pi,e_i,0,-0.000678856069964
kappa_0p07,dynare,pi,e_i,1,-0.000466279767242
kappa_0p07,dynare,pi,e_i,2,-0.000320269392819
kappa_0p07,dynare,pi,e_i,3,-0.000219980559275
kappa_0p07,dynare,pi,e_i,4,-0.000151096069572
kappa_0p07,dynare,pi,e_i,5,-0.000103781999261
kappa_0p07,dynare,pi,e_i,6,-7.12838090431e-05
kappa_0p07,dynare,pi,e_i,7,-4.89620692211e-05
kappa_0p07,dynare,pi,e_i,8,-3.36301364165e-05
kappa_0p07,dynare,pi,e_i,9,-2.30992295339e-05
kappa_0p07,dynare,pi,e_i,10,-1.58659601749e-05
kappa_0p07,dynare,pi,e_i,11,-1.08977094626e-05
kappa_0p07,dynare,pi,e_i,12,-7.48521175036e-06
kappa_0p07,dynare,pi,e_i,13,-5.14130011815e-06
kappa_0p07,dynare,pi,e_i,14,-3.53135860232e-06
kappa_0p07,dynare,pi,e_i,15,-2.42555254345e-06
kappa_0p07,dynare,pi,e_i,16,-1.66601747474e-06
kappa_0p07,dynare,pi,e_i,17,-1.14432244877e-06
kappa_0p07,dynare,pi,e_i,18,-7.85990475253e-07
kappa_0p07,dynare,pi,e_i,19,-5.39866213282e-07
kappa_0p07,dynare,i,e_x,0,0.000150835707604
kappa_0p07,dynare,i,e_x,1,0.000103603166776
kappa_0p07,dynare,i,e_x,2,7.11609759817e-05
kappa_0p07,dynare,i,e_x,3,4.88776999801e-05
kappa_0p07,dynare,i,e_x,4,3.35721864743e-05
kappa_0p07,dynare,i,e_x,5,2.3059425978e-05
kappa_0p07,dynare,i,e_x,6,1.58386206642e-05
kappa_0p07,dynare,i,e_x,7,1.08789310186e-05
kappa_0p07,dynare,i,e_x,8,7.47231356931e-06
kappa_0p07,dynare,i,e_x,9,5.13244086046e-06
kappa_0p07,dynare,i,e_x,10,3.52527352362e-06
kappa_0p07,dynare,i,e_x,11,2.42137294013e-06
kappa_0p07,dynare,i,e_x,12,1.66314666817e-06
kappa_0p07,dynare,i,e_x,13,1.14235060366e-06
kappa_0p07,dynare,i,e_x,14,7.84636091732e-07
kappa_0p07,dynare,i,e_x,15,5.38935940046e-07
kappa_0p07,dynare,i,e_x,16,3.70174085202e-07
kappa_0p07,dynare,i,e_x,17,2.5425814679e-07
kappa_0p07,dynare,i,e_x,18,1.74640008023e-07
kappa_0p07,dynare,i,e_x,19,1.19953412652e-07
kappa_0p07,dynare,i,e_pi,0,0.00023491601369
kappa_0p07,dynare,i,e_pi,1,0.000161354650906
kappa_0p07,dynare,i,e_pi,2,0.000110828218818
kappa_0p07,dynare,i,e_pi,3,7.61235825394e-05
kappa_0p07,dynare,i,e_pi,4,5.22863209427e-05
kappa_0p07,dynare,i,e_pi,5,3.59134353183e-05
kappa_0p07,dynare,i,e_pi,6,2.46675385284e-05
kappa_0p07,dynare,i,e_pi,7,1.6943170478e-05
kappa_0p07,dynare,i,e_pi,8,1.16376032216e-05
kappa_0p07,dynare,i,e_pi,9,7.99341592644e-06
kappa_0p07,dynare,i,e_pi,10,5.49036575285e-06
kappa_0p07,dynare,i,e_pi,11,3.77111817744e-06
kappa_0p07,dynare,i,e_pi,12,2.59023404786e-06
kappa_0p07,dynare,i,e_pi,13,1.77913077952e-06
kappa_0p07,dynare,i,e_pi,14,1.22201556776e-06
kappa_0p07,dynare,i,e_pi,15,8.39354849597e-07
kappa_0p07,dynare,i,e_pi,16,5.76520121451e-07
kappa_0p07,dynare,i,e_pi,17,3.95989194078e-07
kappa_0p07,dynare,i,e_pi,18,2.71989538599e-07
kappa_0p07,dynare,i,e_pi,19,1.86819009746e-07
kappa_0p07,dynare,i,e_i,0,0.000500019152817
kappa_0p07,dynare,i,e_i,1,0.000343443661341
kappa_0p07,dynare,i,e_i,2,0.000235898060805
kappa_0p07,dynare,i,e_i,3,0.000162029180782
kappa_0p07,dynare,i,e_i,4,0.000111291527091
kappa_0p07,dynare,i,e_i,5,7.64418109286e-05
kappa_0p07,dynare,i,e_i,6,5.25048996162e-05
kappa_0p07,dynare,i,e_i,7,3.60635684872e-05
kappa_0p07,dynare,i,e_i,8,2.47706591487e-05
kappa_0p07,dynare,i,e_i,9,1.70140000116e-05
kappa_0p07,dynare,i,e_i,10,1.16862532667e-05
kappa_0p07,dynare,i,e_i,11,8.02683174569e-06
kappa_0p07,dynare,i,e_i,12,5.51331777628e-06
kappa_0p07,dynare,i,e_i,13,3.78688302748e-06
kappa_0p07,dynare,i,e_i,14,2.60106230872e-06
kappa_0p07,dynare,i,e_i,15,1.78656828973e-06
kappa_0p07,dynare,i,e_i,16,1.22712410355e-06
kappa_0p07,dynare,i,e_i,17,8.42863703659e-07
kappa_0p07,dynare,i,e_i,18,5.78930216502e-07
kappa_0p07,dynare,i,e_i,19,3.97644594404e-07
kappa_0p10,dynare,x,e_x,0,0.00399727838858
kappa_0p10,dynare,x,e_x,1,-0.000657862568214
kappa_0p10,dynare,x,e_x,2,-0.000431608488068
kappa_0p10,dynare,x,e_x,3,-0.000283168394089
kappa_0p10,dynare,x,e_x,4,-0.000185780265281
kappa_0p10,dynare,x,e_x,5,-0.000121886155688
kappa_0p10,dynare,x,e_x,6,-7.99667011239e-05
kappa_0p10,dynare,x,e_x,7,-5.24643119027e-05
kappa_0p10,dynare,x,e_x,8,-3.44206273953e-05
kappa_0p10,dynare,x,e_x,9,-2.25825813266e-05
kappa_0p10,dynare,x,e_x,10,-1.48159117937e-05
kappa_0p10,dynare,x,e_x,11,-9.72037868944e-06
kappa_0p10,dynare,x,e_x,12,-6.37731671067e-06
kappa_0p10,dynare,x,e_x,13,-4.1840106983e-06
kappa_0p10,dynare,x,e_x,14,-2.74503310997e-06
kappa_0p10,dynare,x,e_x,15,-1.80095303721e-06
kappa_0p10,dynare,x,e_x,16,-1.18156383267e-06
kappa_0p10,dynare,x,e_x,17,-7.75196832918e-07
kappa_0p10,dynare,x,e_x,18,-5.08588798294e-07
kappa_0p10,dynare,x,e_x,19,-3.33673403665e-07
kappa_0p10,dynare,x,e_pi,0,-0.0014402053367
kappa_0p10,dynare,x,e_pi,1,-0.000944885570198
kappa_0p10,dynare,x,e_pi,2,-0.000619917672862
kappa_0p10,dynare,x,e_pi,3,-0.000406713715658
kappa_0p10,dynare,x,e_pi,4,-0.000266835506948
kappa_0p10,dynare,x,e_pi,5,-0.000175064633985
kappa_0p10,dynare,x,e_pi,6,-0.000114855876651
kappa_0p10,dynare,x,e_pi,7,-7.53542968735e-05
kappa_0p10,dynare,x,e_pi,8,-4.94382196441e-05
kappa_0p10,dynare,x,e_pi,9,-3.24352779203e-05
kappa_0p10,dynare,x,e_pi,10,-2.12800392356e-05
kappa_0p10,dynare,x,e_pi,11,-1.39613439102e-05
kappa_0p10,dynare,x,e_pi,12,-9.15971637184e-06
kappa_0p10,dynare,x,e_pi,13,-6.00947906964e-06
kappa_0p10,dynare,x,e_pi,14,-3.94268088906e-06
kappa_0p10,dynare,x,e_pi,15,-2.58670217714e-06
kappa_0p10,dynare,x,e_pi,16,-1.6970757567e-06
kappa_0p10,dynare,x,e_pi,17,-1.11341234002e-06
kappa_0p10,dynare,x,e_pi,18,-7.30484207328e-07
kappa_0p10,dynare,x,e_pi,19,-4.79253873857e-07
kappa_0p10,dynare,x,e_i,0,-0.00306547961982
kappa_0p10,dynare,x,e_i,1,-0.00201119061616
kappa_0p10,dynare,x,e_i,2,-0.00131949586889
kappa_0p10,dynare,x,e_i,3,-0.000865690866909
kappa_0p10,dynare,x,e_i,4,-0.000567959850969
kappa_0p10,dynare,x,e_i,5,-0.000372625384699
kappa_0p10,dynare,x,e_i,6,-0.000244470937665
kappa_0p10,dynare,x,e_i,7,-0.000160391754874
kappa_0p10,dynare,x,e_i,8,-0.000105229338413
kappa_0p10,dynare,x,e_i,9,-6.90385467228e-05
kappa_0p10,dynare,x,e_i,10,-4.52946013486e-05
kappa_0p10,dynare,x,e_i,11,-2.9716745336e-05
kappa_0p10,dynare,x,e_i,12,-1.94964725833e-05
kappa_0p10,dynare,x,e_i,13,-1.27911868845e-05
kappa_0p10,dynare,x,e_i,14,-8.39200328239e-06
kappa_0p10,dynare,x,e_i,15,-5.50580018317e-06
kappa_0p10,dynare,x,e_i,16,-3.61222876552e-06
kappa_0p10,dynare,x,e_i,17,-2.36990014537e-06
kappa_0p10,dynare,x,e_i,18,-1.55483693409e-06
kappa_0p10,dynare,x,e_i,19,-1.02009272261e-06
kappa_0p10,dynare,pi,e_x,0,0.000212484029619
kappa_0p10,dynare,pi,e_x,1,-0.000188632610012
kappa_0p10,dynare,pi,e_x,2,-0.00012375751341
