scenario,scenario_type,variable,shock,impact_pp,peak_response_pp,peak_abs_pp,peak_horizon,cumulative_abs_pp,first_sign_change_horizon,response_h4_pp,response_h8_pp,response_h19_pp,source
phi_pi_1p6,phi_pi,x,e_pi,-0.135958132424,-0.135958132424,0.135958132424,0,0.3979823509108021,,-0.0255580234159,-0.0048045126045600005,-4.84713414349e-05,dynare
phi_pi_1p6,phi_pi,x,e_x,0.398767636056,0.398767636056,0.398767636056,0,0.5938668962108341,1.0,-0.0190301167131,-0.00357736723715,-3.6091025887899995e-05,dynare
phi_pi_1p7,phi_pi,i,e_i,0.047818267424600006,0.047818267424600006,0.047818267424600006,0,0.1393258088965212,,0.008902215113389999,0.0016573045865800001,1.6279423227e-05,dynare
phi_pi_1p7,phi_pi,i,e_pi,0.0218238160254,0.0218238160254,0.0218238160254,0,0.06358701359770687,,0.00406288883551,0.000756378521086,7.42977854786e-06,dynare
phi_pi_1p7,phi_pi,i,e_x,0.0155255433606,0.0155255433606,0.0155255433606,0,0.04523603643070059,,0.00289035413017,0.000538090474758,5.2855719123499995e-06,dynare
phi_pi_1p7,phi_pi,pi,e_i,-0.0890227662396,-0.0890227662396,0.0890227662396,0,0.2593813951142347,,-0.0165731603786,-0.0030853865425299995,-3.0307231242499998e-05,dynare
phi_pi_1p7,phi_pi,pi,e_pi,0.236370830916,0.236370830916,0.236370830916,0,0.31412093720654866,1.0,-0.00756383747344,-0.00140814194863,-1.38319406891e-05,dynare
phi_pi_1p7,phi_pi,pi,e_x,0.021096258987,0.021096258987,0.021096258987,0,0.0764079718927869,1.0,-0.005380941927379999,-0.00100175738541,-9.840093716e-06,dynare
phi_pi_1p7,phi_pi,x,e_i,-0.309773618795,-0.309773618795,0.309773618795,0,0.9025726430048792,,-0.057669830788200004,-0.0107362576454,-0.00010546044674,dynare
phi_pi_1p7,phi_pi,x,e_pi,-0.141377821284,-0.141377821284,0.141377821284,0,0.41192582607715944,,-0.0263199786425,-0.00489992892412,-4.8131174790700004e-05,dynare
phi_pi_1p7,phi_pi,x,e_x,0.39942329554,0.39942329554,0.39942329554,0,0.591892145838888,1.0,-0.01872413006,-0.00348582754211,-3.42406955933e-05,dynare
phi_pi_1p8,phi_pi,i,e_i,0.0477040426263,0.0477040426263,0.0477040426263,0,0.1383617558237938,,0.00879639704445,0.0016220134962099998,1.5519080012999998e-05,dynare
phi_pi_1p8,phi_pi,i,e_pi,0.0230523722274,0.0230523722274,0.0230523722274,0,0.06686155976906714,,0.00425074705968,0.0007838174044359999,7.49939815144e-06,dynare
phi_pi_1p8,phi_pi,i,e_x,0.0157196280732,0.0157196280732,0.0157196280732,0,0.04559352250596656,,0.0028986241482000003,0.0005344924137750001,5.11390969007e-06,dynare
phi_pi_1p8,phi_pi,pi,e_i,-0.0868065428199,-0.0868065428199,0.0868065428199,0,0.251775426574304,,-0.0160067108501,-0.00295156083764,-2.82399060857e-05,dynare
phi_pi_1p8,phi_pi,pi,e_pi,0.23505184159099998,0.23505184159099998,0.23505184159099998,0,0.31477095772607866,1.0,-0.00773503955509,-0.0014263042571499998,-1.36465756551e-05,dynare
phi_pi_1p8,phi_pi,pi,e_x,0.021395158726099997,0.021395158726099997,0.021395158726099997,0,0.0757563690870245,1.0,-0.00527459576561,-0.000972610203431,-9.305727482419999e-06,dynare
phi_pi_1p8,phi_pi,x,e_i,-0.30341382709,-0.30341382709,0.30341382709,0,0.8800275101680388,,-0.0559480569135,-0.0103165538051,-9.870659173590001e-05,dynare
phi_pi_1p8,phi_pi,x,e_pi,-0.146620875212,-0.146620875212,0.146620875212,0,0.4252621081542778,,-0.027036187341000002,-0.00498534349138,-4.7698705785100004e-05,dynare
phi_pi_1p8,phi_pi,x,e_x,0.40001785484999997,0.40001785484999997,0.40001785484999997,0,0.5900259158213663,1.0,-0.0184362288326,-0.0033995523206299997,-3.2526193275e-05,dynare
phi_pi_1p9,phi_pi,i,e_i,0.0475917533548,0.0475917533548,0.0475917533548,0,0.1374224862447033,,0.008693355262219999,0.00158797313374,1.48045901136e-05,dynare
phi_pi_1p9,phi_pi,i,e_pi,0.0242757826345,0.0242757826345,0.0242757826345,0,0.07009698466658176,,0.0044343397297600005,0.0008099993781850001,7.55158165557e-06,dynare
phi_pi_1p9,phi_pi,i,e_x,0.015913252914500003,0.015913252914500003,0.015913252914500003,0,0.045949951947467794,,0.0029067968967599997,0.000530970521516,4.9502102815299995e-06,dynare
phi_pi_1p9,phi_pi,pi,e_i,-0.0847160428341,-0.0847160428341,0.0847160428341,0,0.24461988496794884,,-0.0154746695562,-0.0028266829972499997,-2.6353017104799998e-05,dynare
phi_pi_1p9,phi_pi,pi,e_pi,0.233787718533,0.233787718533,0.233787718533,0,0.3153520787513511,1.0,-0.00789337832725,-0.00144184521857,-1.34422472362e-05,dynare
phi_pi_1p9,phi_pi,pi,e_x,0.0216734997031,0.0216734997031,0.0216734997031,0,0.07514054183758122,1.0,-0.00517426472146,-0.000945157895508,-8.81165741304e-06,dynare
phi_pi_1p9,phi_pi,x,e_i,-0.297404038659,-0.297404038659,0.297404038659,0,0.8587622756205875,,-0.054325356437399996,-0.00992334994964,-9.25148703317e-05,dynare
phi_pi_1p9,phi_pi,x,e_pi,-0.15170098364,-0.15170098364,0.15170098364,0,0.43804072907739205,,-0.0277104845157,-0.00506174009996,-4.7190337071300004e-05,dynare
phi_pi_1p9,phi_pi,x,e_x,0.400557021934,0.400557021934,0.400557021934,0,0.5882583561082635,1.0,-0.0181647675431,-0.00331807017763,-3.09341939761e-05,dynare
phi_pi_2p0,phi_pi,i,e_i,0.0474813226043,0.0474813226043,0.0474813226043,0,0.13650682562631689,,0.00859296298633,0.00155511701938,1.41324819953e-05,dynare
phi_pi_2p0,phi_pi,i,e_pi,0.0254941617864,0.0254941617864,0.0254941617864,0,0.07329465369923538,,0.00461382237441,0.000834989480373,7.588158093969999e-06,dynare
phi_pi_2p0,phi_pi,i,e_x,0.0161064199012,0.0161064199012,0.0161064199012,0,0.0463052866331511,,0.00291486973112,0.0005275204298390001,4.7939626947e-06,dynare
phi_pi_2p0,phi_pi,pi,e_i,-0.0827404504534,-0.0827404504534,0.0827404504534,0,0.23787535019639255,,-0.014974006392899999,-0.0027099304659899998,-2.46271136139e-05,dynare
phi_pi_2p0,phi_pi,pi,e_pi,0.23257414338,0.23257414338,0.23257414338,0,0.31587077489392335,1.0,-0.008039998058849999,-0.00145504383493,-1.32230440175e-05,dynare
phi_pi_2p0,phi_pi,pi,e_x,0.0219331230741,0.0219331230741,0.0219331230741,0,0.07455734875981392,1.0,-0.00507942115631,-0.000919251520265,-8.35390867531e-06,dynare
phi_pi_2p0,phi_pi,x,e_i,-0.29171441963399997,-0.29171441963399997,0.29171441963399997,0,0.8386668110640976,,-0.0527932052649,-0.00955428437728,-8.68267469634e-05,dynare
phi_pi_2p0,phi_pi,x,e_pi,-0.156630316968,-0.156630316968,0.156630316968,0,0.4503056400587357,,-0.028346272648300003,-0.00512998497741,-4.66199131165e-05,dynare
phi_pi_2p0,phi_pi,x,e_x,0.40104582863,0.40104582863,0.40104582863,0,0.5865807800410539,1.0,-0.0179082949944,-0.00324096523844,-2.9453013701799997e-05,dynare
phi_pi_2p1,phi_pi,i,e_i,0.0473726782171,0.0473726782171,0.0473726782171,0,0.135613680663676,,0.00849510191356,0.0015233835037,1.3499604648600002e-05,dynare
phi_pi_2p1,phi_pi,i,e_pi,0.0267076186867,0.0267076186867,0.0267076186867,0,0.07645585194215772,,0.004789341687049999,0.0008588483332930001,7.610764409930001e-06,dynare
phi_pi_2p1,phi_pi,i,e_x,0.0162991312254,0.0162991312254,0.0162991312254,0,0.04665949362129138,,0.00292284046571,0.0005241381439210001,4.64469892643e-06,dynare
phi_pi_2p1,phi_pi,pi,e_i,-0.0808701740988,-0.0808701740988,0.0808701740988,0,0.23150690183050981,,-0.0145020378115,-0.00260057682613,-2.30452534939e-05,dynare
phi_pi_2p1,phi_pi,pi,e_pi,0.23140726903699999,0.23140726903699999,0.23140726903699999,0,0.3163327669377728,1.0,-0.008175913007829999,-0.0014661449774799999,-1.29923801233e-05,dynare
phi_pi_2p1,phi_pi,pi,e_x,0.0221756584288,0.0221756584288,0.0221756584288,0,0.0740040093910321,1.0,-0.004989597933260001,-0.0008947592693939999,-7.928992511210001e-06,dynare
phi_pi_2p1,phi_pi,x,e_i,-0.286318499841,-0.286318499841,0.286318499841,0,0.8196434541346865,,-0.051344043179,-0.00920726663292,-8.159104988159999e-05,dynare
phi_pi_2p1,phi_pi,x,e_pi,-0.161419738222,-0.161419738222,0.161419738222,0,0.46209599406157664,,-0.028946582263599998,-0.00519084365997,-4.5999144032e-05,dynare
phi_pi_2p1,phi_pi,x,e_x,0.401488727748,0.401488727748,0.401488727748,0,0.5849854972563912,1.0,-0.0176655263944,-0.00316786917533,-2.80723674254e-05,dynare
phi_pi_2p2,phi_pi,i,e_i,0.0472657524699,0.0472657524699,0.0472657524699,0,0.13474203193371487,,0.00839966147056,0.00149271531993,1.29030924523e-05,dynare
phi_pi_2p2,phi_pi,i,e_pi,0.0279162572094,0.0279162572094,0.0279162572094,0,0.07958179070088534,,0.0049610362224500005,0.0008816325274470001,7.62086772924e-06,dynare
phi_pi_2p2,phi_pi,i,e_x,0.0164913892278,0.0164913892278,0.0164913892278,0,0.04701254455591138,,0.00293070731881,0.000520820003086,4.5019894691499994e-06,dynare
phi_pi_2p2,phi_pi,pi,e_i,-0.079096676785,-0.079096676785,0.079096676785,0,0.22548349264082784,,-0.0140563785346,-0.00249797824054,-2.1592626371000002e-05,dynare
phi_pi_2p2,phi_pi,pi,e_pi,0.23028365554,0.23028365554,0.23028365554,0,0.3167431275669019,1.0,-0.008302025422209999,-0.00147536428434,-1.2753109388999999e-05,dynare
phi_pi_2p2,phi_pi,pi,e_x,0.022402553322,0.022402553322,0.022402553322,0,0.07347805369881,1.0,-0.0049043799671800005,-0.000871564066889,-7.5338355432e-06,dynare
phi_pi_2p2,phi_pi,x,e_i,-0.281192707582,-0.281192707582,0.281192707582,0,0.8016052808765097,,-0.049971140376499995,-0.00888043965295,-7.67628846098e-05,dynare
