variable,period,e_x,e_pi,e_i,initial,smoothed
pi,5,-0.001527019962,9.696888668e-05,-0.003807994004,-0.0001075222964,-0.005345567376
pi,6,-0.002513859613,-0.002966044758,0.000208875898,-7.054290367e-05,-0.005341571376
pi,7,-0.002310456185,0.004986122726,0.004110175658,-4.628157531e-05,0.006739560624
pi,8,-0.001008467974,-0.006735823194,0.002393124069,-3.036427623e-05,-0.005381531376
pi,9,-0.0001429511636,0.007986767176,0.003951633914,-1.99213027e-05,0.01177552862
pi,10,0.0004474930449,-0.01516811025,0.0003971197347,-1.306990815e-05,-0.01433656738
pi,11,0.0007346639843,-0.005987548055,-0.00107911244,-8.574865886e-06,-0.006340571376
pi,12,0.0009487573886,-0.01455911522,-0.003703601772,-5.625772128e-06,-0.01731958538
pi,13,0.001431815328,-0.007639310416,-0.001137381348,-3.690939597e-06,-0.007348567376
pi,14,0.00235885126,0.001358071901,1.011003996e-06,-2.42154051e-06,0.003715512624
pi,15,0.003200044376,-0.00559863655,7.362151428e-05,-1.588716989e-06,-0.002326559376
pi,16,0.003198734342,-0.009201163622,-0.001352131775,-1.042320647e-06,-0.007355603376
pi,17,0.002477284868,-0.006502955736,-0.003335194666,-6.838425837e-07,-0.007361549376
pi,18,0.002785504276,0.006533128573,-0.002583643571,-4.486533782e-07,0.006734540624
pi,19,0.003080910962,0.008093002364,-0.001406006351,-2.943511542e-07,0.009767612624
pi,20,0.002416861758,-0.007657305868,-0.00411890015,-1.931170168e-07,-0.009359537376
pi,21,0.00134002849,-0.0007534919537,-0.003927983213,-1.266996295e-07,-0.003341573376
pi,22,0.001153155621,0.006033335623,-0.002466903496,-8.312471046e-08,0.004719504624
pi,23,0.000387309308,0.0004633962016,-0.00217621835,-5.453620914e-08,-0.001325567376
pi,24,-4.527300078e-05,-0.01053859133,-0.002755661269,-3.577995148e-08,-0.01333956138
pi,25,-0.001178616601,-0.002110263183,-0.001053688118,-2.347440257e-08,-0.004342591376
pi,26,-0.001685597906,0.0115925923,0.001896777627,-1.540101519e-08,0.01180375662
pi,27,-0.002013586769,0.02200806478,0.004029295714,-1.010425156e-08,0.02402376362
pi,28,-0.001485308817,0.005152440078,0.003071427992,-6.629166864e-09,0.006738552624
pi,29,-0.001351965589,0.001905062064,0.002138340498,-4.349243787e-09,0.002691432624
pi,30,-0.002694362098,0.01980107997,0.004841437601,-2.853438735e-09,0.02194815262
pi,31,-0.003119253496,0.02250994141,0.002588835579,-1.872075474e-09,0.02197952162
pi,32,-0.003727885901,-0.006110996635,-0.003606575612,-1.228225627e-09,-0.01344545938
pi,33,-0.006056294645,-0.01285108472,0.001550940796,-8.058105606e-10,-0.01735643938
pi,34,-0.007247327676,-0.01419358986,0.01009136869,-5.286737558e-10,-0.01134954938
pi,35,-0.003368490972,-0.0113681323,0.007332216238,-3.468506836e-10,-0.007404407376
pi,36,6.753768074e-05,-0.01888897336,0.001495868535,-2.275607446e-10,-0.01732556738
pi,37,0.001907822198,-0.00204892479,-0.000176449635,-1.492973666e-10,-0.0003175523762
pi,38,0.00460347734,-0.004369351145,-0.0005546934733,-9.795056693e-11,-0.0003205673762
pi,39,0.006099914028,-0.002696037168,-0.003730468172,-6.426310872e-11,-0.0003265913762
pi,40,0.005857998766,-0.005374627711,-0.00682093739,-4.216154769e-11,-0.006337566376
pi,41,0.004856216302,0.004565391887,-0.005716127538,-2.76612188e-11,0.003705480624
pi,42,0.004573516824,0.002972261953,-0.007860322135,-1.814788944e-11,-0.0003145433762
