variable,period,e_x,e_pi,e_i,initial,smoothed
x,80,-0.02903269628,0.005769496414,-0.01559391035,-2.775557562e-17,-0.03885711022
x,81,-0.006276666795,0.005857459774,-0.004871328431,-5.204170428e-18,-0.005290535452
x,82,-0.009378923805,0.009404342015,-1.282375065e-05,-1.691355389e-17,1.259445903e-05
x,83,0.01465453506,0.008084118443,0.01213375973,0,0.03487241323
x,84,0.03799418347,0.003806086466,0.004610471796,-6.938893904e-18,0.04641074173
x,85,0.03846176664,-0.005354945883,-0.005333760765,0,0.02777305999
x,86,0.06094122785,-0.01758535928,-0.01912137518,1.387778781e-17,0.02423449339
x,87,0.0609928393,-0.03041640313,-0.02116920597,-6.938893904e-18,0.009407230208
x,88,0.0640255765,-0.03585387125,-0.0267649968,1.387778781e-17,0.001406708448
x,89,0.05576447309,-0.03862153045,-0.01659586995,3.469446952e-17,0.0005470726989
x,90,0.0522812136,-0.03512983682,-0.01896638128,3.816391647e-17,-0.001815004499
x,91,0.03896371497,-0.03392003531,-0.004278591094,3.6429193e-17,0.0007650885632
x,92,0.02165576199,-0.0311334071,0.006697154846,2.949029909e-17,-0.002780490258
x,93,0.01130427989,-0.0302715508,0.02352030508,6.938893904e-18,0.004553034173
x,94,-0.007981597969,-0.02530761022,0.02473403636,1.387778781e-17,-0.008555171828
x,95,0.0003729221967,-0.01996130395,0.02140615427,6.938893904e-18,0.001817772514
x,96,0.003479888649,-0.01522353167,0.01698849792,6.938893904e-18,0.005244854903
x,97,0.005318410991,-0.01484175044,0.01936196857,0,0.009838629124
x,98,0.009135499282,-0.007982469438,0.005774649087,0,0.00692767893
x,99,-0.002037624718,-0.005572815481,0.005389712898,1.734723476e-18,-0.002220727301
x,100,0.0008852416754,-0.00181173952,-0.001943366734,-8.67361738e-19,-0.002869864579
x,101,-0.009598384212,-0.002877799501,0.001159481967,3.469446952e-18,-0.01131670175
pi,1,0.001245573195,-0.003934405505,-0.0004400013515,-0.001220778715,-0.004349612376
pi,2,0.0001313505847,-0.0009739642149,0.002341158764,-0.0008100925097,0.0006884526238
pi,3,-0.0001071780782,0.004760566381,-0.0004849343229,-0.0004831333559,0.003685320624
pi,4,0.000304264222,-0.004933816262,-0.006452678994,-0.0002613363425,-0.01134356738
pi,5,-0.001110660886,0.001939512679,-0.006047739712,-0.0001266794575,-0.005345567376
pi,6,-0.002813257007,-0.0002945378926,-0.002181238738,-5.253773867e-05,-0.005341571376
pi,7,-0.003592606625,0.007378668989,0.002969309614,-1.581135407e-05,0.006739560624
pi,8,-0.002466625579,-0.006603113999,0.003688257484,-4.928230265e-08,-0.005381531376
pi,9,-0.001336071275,0.008042076404,0.005064411178,5.1123171e-06,0.01177552862
pi,10,6.904804668e-05,-0.0168588765,0.002447678907,5.582166969e-06,-0.01433656738
pi,11,0.000649071335,-0.006868621647,-0.0001254283566,4.407292315e-06,-0.006340571376
pi,12,0.001037942915,-0.01488470925,-0.003475793673,2.974628694e-06,-0.01731958538
pi,13,0.001279123706,-0.005981857785,-0.002647631967,1.798669365e-06,-0.007348567376
pi,14,0.002066390011,0.002761680006,-0.001113543818,9.864245819e-07,0.003715512624
pi,15,0.003341429088,-0.005382996192,-0.0002854785761,4.863042864e-07,-0.002326559376
pi,16,0.003963545882,-0.01018515725,-0.001134199189,2.071765168e-07,-0.007355603376
pi,17,0.003467149696,-0.007611822474,-0.003216943275,6.667660607e-08,-0.007361549376
pi,18,0.00333896852,0.006862742364,-0.003467175165,4.904682081e-09,0.006734540624
pi,19,0.003694109768,0.008552318375,-0.002478799075,-1.644495005e-08,0.009767612624
pi,20,0.003610352659,-0.008694112005,-0.004275758523,-1.950702066e-08,-0.009359537376
pi,21,0.002449121104,-0.0009062586182,-0.004884419997,-1.586539748e-08,-0.003341573376
